date,supplier,category,sku,units_sold,retail_price,base_cost,freight_pct,duty_pct,packaging_pct,handling_pct,rebate_pct,shrink_pct
2024-11-01,Unilever,Haircare,UNI-HAI-00,3707,6.22,5.11,0.04,0.008,0.009,0.006,0.035,0.012
2024-11-01,Unilever,Haircare,UNI-HAI-01,3935,4.54,2.59,0.046,0.047,0.005,0.02,0.025,0.012
2024-11-01,Unilever,Haircare,UNI-HAI-02,2500,3.32,2.18,0.041,0.007,0.012,0.01,0.018,0.016
2024-11-01,Unilever,Haircare,UNI-HAI-03,762,3.04,2.78,0.033,0.043,0.022,0.012,0.001,0.019
2024-11-01,Unilever,Oral Care,UNI-ORA-00,441,3.06,1.7,0.022,0.012,0.022,0.014,0.033,0.003
2024-11-01,Unilever,Oral Care,UNI-ORA-01,3352,2.35,1.87,0.026,0.026,0.019,0.008,0.039,0.016
2024-11-01,Unilever,Oral Care,UNI-ORA-02,361,3.11,2.78,0.046,0.016,0.019,0.013,0.038,0.017
2024-11-01,Unilever,Skincare,UNI-SKI-00,537,3.92,3.01,0.058,0.03,0.012,0.009,0.007,0.0
2024-11-01,Unilever,Skincare,UNI-SKI-01,2768,5.22,3.25,0.01,0.041,0.023,0.016,0.031,0.001
2024-11-01,Unilever,Dairy,UNI-DAI-00,3265,1.55,1.35,0.041,0.017,0.007,0.01,0.013,0.015
2024-11-01,Unilever,Dairy,UNI-DAI-01,2095,2.44,1.85,0.029,0.049,0.026,0.016,0.009,0.005
2024-11-01,Unilever,Dairy,UNI-DAI-02,3042,3.83,2.71,0.011,0.005,0.006,0.015,0.013,0.01
2024-11-01,Unilever,Dairy,UNI-DAI-03,1957,1.68,1.3,0.037,0.01,0.029,0.014,0.028,0.018
2024-11-01,Unilever,Snacks,UNI-SNA-00,2804,2.56,1.51,0.033,0.011,0.015,0.018,0.013,0.002
2024-11-01,Unilever,Snacks,UNI-SNA-01,1696,2.68,1.58,0.021,0.021,0.025,0.018,0.0,0.01
2024-11-01,Unilever,Snacks,UNI-SNA-02,848,3.62,2.92,0.023,0.012,0.009,0.008,0.022,0.008
2024-11-01,Unilever,Bakery,UNI-BAK-00,1720,2.32,1.49,0.045,0.036,0.009,0.02,0.011,0.02
2024-11-01,Unilever,Bakery,UNI-BAK-01,2467,1.19,0.78,0.055,0.012,0.009,0.012,0.039,0.005
2024-11-01,Unilever,Bakery,UNI-BAK-02,1035,1.35,0.93,0.022,0.04,0.017,0.02,0.016,0.016
2024-11-01,Unilever,Beverages,UNI-BEV-00,808,1.74,1.28,0.045,0.043,0.013,0.008,0.028,0.016
2024-11-01,Unilever,Beverages,UNI-BEV-01,3419,4.51,2.77,0.045,0.019,0.028,0.007,0.014,0.002
2024-11-01,Unilever,Beverages,UNI-BEV-02,2398,3.93,3.17,0.021,0.009,0.03,0.013,0.01,0.02
2024-11-01,Unilever,Beverages,UNI-BEV-03,2501,5.92,5.23,0.042,0.017,0.014,0.016,0.036,0.018
2024-11-01,Unilever,Beverages,UNI-BEV-04,3391,5.87,5.08,0.057,0.039,0.022,0.014,0.015,0.019
2024-11-01,P&G,Haircare,P&G-HAI-00,2084,2.49,1.65,0.034,0.022,0.03,0.008,0.001,0.01
2024-11-01,P&G,Haircare,P&G-HAI-01,1015,5.08,4.02,0.052,0.033,0.019,0.006,0.015,0.005
2024-11-01,P&G,Oral Care,P&G-ORA-00,1893,6.35,4.42,0.055,0.032,0.025,0.013,0.023,0.01
2024-11-01,P&G,Oral Care,P&G-ORA-01,652,2.19,1.61,0.039,0.038,0.006,0.02,0.019,0.006
2024-11-01,P&G,Oral Care,P&G-ORA-02,2765,2.97,1.65,0.056,0.021,0.029,0.019,0.034,0.006
2024-11-01,P&G,Skincare,P&G-SKI-00,3175,5.67,3.78,0.018,0.028,0.028,0.015,0.023,0.002
2024-11-01,P&G,Skincare,P&G-SKI-01,3559,4.66,3.18,0.023,0.015,0.013,0.018,0.005,0.014
2024-11-01,P&G,Dairy,P&G-DAI-00,1700,2.56,1.81,0.023,0.031,0.007,0.005,0.025,0.004
2024-11-01,P&G,Dairy,P&G-DAI-01,2759,3.12,1.77,0.054,0.001,0.019,0.012,0.027,0.007
2024-11-01,P&G,Dairy,P&G-DAI-02,3969,3.94,2.58,0.04,0.002,0.006,0.017,0.014,0.003
2024-11-01,P&G,Dairy,P&G-DAI-03,3240,5.54,3.6,0.058,0.023,0.026,0.008,0.016,0.014
2024-11-01,P&G,Snacks,P&G-SNA-00,2903,6.36,4.71,0.026,0.04,0.012,0.012,0.003,0.001
2024-11-01,P&G,Snacks,P&G-SNA-01,316,1.35,0.96,0.044,0.003,0.028,0.012,0.01,0.002
2024-11-01,P&G,Snacks,P&G-SNA-02,3872,4.6,3.01,0.058,0.037,0.019,0.014,0.017,0.005
2024-11-01,P&G,Snacks,P&G-SNA-03,1879,1.79,1.06,0.027,0.005,0.007,0.01,0.039,0.004
2024-11-01,P&G,Snacks,P&G-SNA-04,3159,1.45,1.06,0.034,0.009,0.016,0.011,0.025,0.013
2024-11-01,P&G,Bakery,P&G-BAK-00,3451,3.0,2.34,0.035,0.043,0.021,0.007,0.003,0.013
2024-11-01,P&G,Bakery,P&G-BAK-01,696,5.76,4.52,0.05,0.034,0.019,0.007,0.032,0.016
2024-11-01,P&G,Bakery,P&G-BAK-02,1491,3.06,2.77,0.055,0.01,0.007,0.007,0.001,0.002
2024-11-01,P&G,Beverages,P&G-BEV-00,2974,1.3,0.87,0.052,0.001,0.025,0.009,0.005,0.014
2024-11-01,P&G,Beverages,P&G-BEV-01,1716,6.15,3.47,0.031,0.048,0.019,0.011,0.023,0.012
2024-11-01,P&G,Beverages,P&G-BEV-02,1322,3.21,2.21,0.049,0.017,0.028,0.018,0.017,0.015
2024-11-01,P&G,Beverages,P&G-BEV-03,2464,2.23,1.54,0.037,0.025,0.015,0.009,0.004,0.001
2024-11-01,Own Label,Haircare,OWN-HAI-00,3504,5.64,3.84,0.058,0.034,0.017,0.012,0.003,0.002
2024-11-01,Own Label,Haircare,OWN-HAI-01,595,2.74,2.19,0.048,0.04,0.025,0.006,0.02,0.001
2024-11-01,Own Label,Oral Care,OWN-ORA-00,833,3.37,2.96,0.028,0.006,0.009,0.016,0.025,0.002
2024-11-01,Own Label,Oral Care,OWN-ORA-01,1742,3.29,2.08,0.03,0.045,0.009,0.013,0.009,0.012
2024-11-01,Own Label,Oral Care,OWN-ORA-02,1588,2.98,2.54,0.057,0.049,0.024,0.011,0.003,0.016
2024-11-01,Own Label,Oral Care,OWN-ORA-03,1405,4.85,3.11,0.027,0.022,0.011,0.011,0.023,0.015
2024-11-01,Own Label,Skincare,OWN-SKI-00,1028,5.51,4.55,0.044,0.012,0.015,0.012,0.003,0.011
2024-11-01,Own Label,Skincare,OWN-SKI-01,1340,6.29,3.49,0.058,0.002,0.027,0.013,0.04,0.001
2024-11-01,Own Label,Skincare,OWN-SKI-02,1450,4.79,2.77,0.018,0.011,0.012,0.02,0.028,0.008
2024-11-01,Own Label,Skincare,OWN-SKI-03,670,1.15,0.75,0.058,0.045,0.016,0.014,0.011,0.004
2024-11-01,Own Label,Skincare,OWN-SKI-04,289,3.07,1.95,0.023,0.018,0.011,0.012,0.001,0.006
2024-11-01,Own Label,Dairy,OWN-DAI-00,3995,4.28,2.78,0.017,0.004,0.029,0.011,0.023,0.018
2024-11-01,Own Label,Dairy,OWN-DAI-01,209,6.12,5.33,0.012,0.001,0.014,0.017,0.039,0.003
2024-11-01,Own Label,Snacks,OWN-SNA-00,3553,3.03,2.75,0.052,0.042,0.017,0.011,0.011,0.001
2024-11-01,Own Label,Snacks,OWN-SNA-01,717,4.77,3.57,0.047,0.046,0.02,0.016,0.03,0.008
2024-11-01,Own Label,Bakery,OWN-BAK-00,3349,2.05,1.32,0.024,0.01,0.027,0.016,0.002,0.005
2024-11-01,Own Label,Bakery,OWN-BAK-01,1774,4.66,3.46,0.049,0.026,0.026,0.013,0.022,0.018
2024-11-01,Own Label,Beverages,OWN-BEV-00,2648,1.65,0.93,0.048,0.031,0.023,0.008,0.005,0.0
2024-11-01,Own Label,Beverages,OWN-BEV-01,3053,4.31,3.39,0.038,0.005,0.023,0.013,0.018,0.018
2024-11-01,Regional Dairy,Haircare,REG-HAI-00,958,3.83,3.1,0.05,0.023,0.026,0.017,0.003,0.001
